station_id,peak_destinations,dark_from_hour,dark_from,half_reach_from,curve,station_name
JR5,8,19.0,19:00,19:30,"[7, 8, 6, 5, 3, 3, 0, 0, 0, 0, 0, 0]",Road No 5 Jubilee Hills
YUG,13,21.2,21:12,20:45,"[13, 13, 12, 10, 8, 6, 1, 0, 0, 0, 0, 0]",Yusufguda
MAD,6,21.25,21:15,21:45,"[5, 6, 5, 6, 4, 6, 2, 2, 1, 0, 0, 0]",Madhapur
JCP,15,21.4,21:24,19:55,"[15, 12, 11, 13, 7, 7, 2, 2, 1, 0, 0, 0]",Jubilee Hills Checkpost
PED,12,21.666666666666668,21:40,21:30,"[12, 12, 10, 12, 9, 9, 3, 2, 1, 0, 0, 0]",Peddamma Gudi
DGC,13,21.714285714285715,21:43,21:30,"[10, 9, 10, 13, 8, 10, 3, 1, 0, 0, 0, 0]",Durgam Cheruvu
RDG,18,21.88888888888889,21:53,21:27,"[12, 17, 18, 17, 11, 13, 4, 0, 0, 0, 0, 0]",Raidurg
NEM,31,21.90909090909091,21:55,20:56,"[26, 31, 23, 23, 22, 15, 4, 3, 3, 0, 0, 0]",New Market
MSB,34,21.923076923076923,21:55,21:00,"[29, 34, 26, 27, 24, 17, 4, 2, 2, 0, 0, 0]",Musarambagh
CDP,26,22.2,22:12,21:00,"[26, 18, 25, 25, 22, 13, 6, 1, 0, 0, 0, 1]",Chikkadpally
NAR,21,22.25,22:15,21:21,"[21, 18, 21, 20, 20, 13, 6, 2, 0, 0, 0, 1]",Narayanaguda
VOM,32,22.333333333333332,22:20,21:11,"[27, 32, 27, 25, 23, 18, 7, 1, 2, 1, 0, 0]",Victoria Memorial
DSN,41,22.333333333333332,22:20,20:57,"[38, 41, 36, 33, 31, 20, 6, 3, 2, 0, 0, 0]",Dilsukh Nagar
GNH,23,22.375,22:22,21:25,"[20, 19, 23, 22, 18, 14, 8, 0, 0, 0, 0, 0]",Gandhi Hospital
MSH,24,22.375,22:22,21:26,"[23, 22, 23, 24, 20, 15, 8, 0, 0, 0, 0, 1]",Musheerabad
CHP,38,22.4,22:24,21:05,"[34, 38, 34, 29, 30, 20, 7, 2, 2, 1, 0, 0]",Chaitanyapuri
HTC,25,22.428571428571427,22:26,21:35,"[16, 22, 23, 25, 16, 19, 8, 1, 0, 0, 0, 0]",HITEC City
RTC,28,22.428571428571427,22:26,21:27,"[27, 25, 28, 28, 25, 19, 8, 1, 0, 0, 0, 1]",RTC Cross Roads
BTN,22,22.666666666666668,22:40,21:48,"[19, 19, 22, 21, 23, 19, 9, 3, 0, 0, 0, 0]",Bharat Nagar
MYP,32,22.7,22:42,21:12,"[24, 31, 32, 29, 27, 17, 12, 2, 0, 0, 0, 0]",Miyapur
ERA,32,22.75,22:45,21:10,"[32, 25, 24, 27, 25, 17, 11, 3, 0, 0, 0, 0]",Erragadda
PRN,25,22.75,22:45,20:50,"[25, 20, 16, 17, 15, 12, 8, 4, 0, 0, 0, 0]",Prakash Nagar
BEG,23,22.8,22:48,21:10,"[23, 22, 18, 17, 16, 12, 9, 4, 0, 0, 0, 0]",Begumpet
MGB,37,22.833333333333332,22:50,21:25,"[37, 33, 32, 28, 28, 21, 15, 3, 1, 1, 0, 0]",Mahatma Gandhi Bus Station
JNT,32,22.846153846153847,22:51,22:00,"[26, 32, 31, 32, 31, 23, 16, 3, 0, 0, 0, 0]",JNTU College
IRM,40,22.857142857142858,22:51,21:26,"[38, 37, 40, 40, 31, 27, 11, 4, 0, 0, 0, 0]",Erra Manzil
