station_name,morning_peak,midday,evening_peak,night,late_night
Raidurg,38.3,28.0,38.5,22.0,0.0
Gandhi Hospital,80.7,73.3,77.8,54.0,0.2
Musheerabad,88.7,84.3,86.0,58.7,0.4
RTC Cross Roads,85.3,77.2,82.2,59.7,0.6
Road No 5 Jubilee Hills,30.7,26.3,35.8,23.7,1.0
Bharat Nagar,120.3,123.7,132.2,74.3,1.0
Yusufguda,50.3,45.0,60.5,39.0,1.0
Chikkadpally,88.7,76.3,84.5,61.3,1.2
Madhapur,49.7,44.2,62.0,35.3,1.2
Musarambagh,139.0,109.5,119.2,70.0,1.4
Narayanaguda,113.3,96.0,101.0,72.0,1.4
Erragadda,146.3,138.8,158.8,76.7,1.4
Mahatma Gandhi Bus Station,148.3,171.5,154.2,99.3,1.6
Victoria Memorial,141.0,114.8,128.2,84.3,1.8
New Market,148.7,121.3,134.5,80.0,1.8
Erra Manzil,122.3,109.5,134.5,82.7,1.8
JNTU College,149.3,131.0,155.8,75.0,2.0
Miyapur,130.0,114.2,137.8,68.3,2.2
Khairatabad,119.3,107.5,130.0,83.7,2.2
KPHB Colony,152.0,139.2,167.0,87.7,2.4
Dilsukh Nagar,190.0,160.0,171.8,113.3,2.4
Durgam Cheruvu,57.0,44.2,62.5,40.0,2.4
ESI Hospital,158.0,145.7,168.8,99.3,2.6
Panjagutta,197.7,179.7,221.2,138.0,2.6
HITEC City,94.7,72.7,101.8,63.0,2.6
Chaitanyapuri,165.7,132.5,149.5,98.7,2.6
Balanagar,123.7,123.3,145.8,97.0,2.6
Malakpet,272.0,245.2,246.5,159.3,3.2
Peddamma Gudi,60.0,46.3,67.0,38.0,3.2
Jubilee Hills Checkpost,60.7,50.0,73.0,44.0,3.2
Ameerpet,175.3,170.3,205.5,124.3,3.4
Gandhi Bhavan,212.3,187.0,210.2,97.7,3.4
Stadium,110.7,116.7,134.2,91.7,3.6
Moosapet,200.7,195.7,219.5,144.3,3.6
Madhura Nagar,195.3,177.5,221.5,139.7,3.8
Prakash Nagar,97.7,92.7,121.5,87.0,3.8
Kukatpally,171.0,154.0,185.2,110.0,3.8
NGRI,112.7,116.2,135.2,90.3,4.2
Assembly,221.7,192.5,216.2,117.0,4.2
S. R. Nagar,194.0,173.8,210.8,133.7,4.4
Habsiguda,144.3,141.2,167.8,108.0,4.8
Begumpet,100.7,97.7,125.0,88.7,5.0
Nampally,210.7,188.8,213.5,97.7,5.0
L. B. Nagar,219.0,221.0,257.8,162.3,5.6
Rasoolpura,105.7,99.8,126.2,93.7,6.4
Mettuguda,192.7,181.0,224.0,142.7,6.8
Paradise,202.0,190.8,246.2,185.3,7.2
Nagole,154.3,137.2,160.2,136.7,7.6
Tarnaka,195.3,183.3,213.8,136.3,8.8
Sultan Bazar,401.7,356.0,410.0,246.3,9.0
Lakdi-ka-pul,276.7,246.8,288.2,178.7,11.0
Osmania Medical College,408.3,385.3,438.0,269.0,12.4
Uppal,258.3,243.7,281.8,214.0,14.0
Secunderabad West,663.0,695.0,805.2,488.3,22.4
JBS Parade Ground,458.3,464.7,532.2,376.0,24.4
Secunderabad East,933.7,961.0,1098.2,658.3,24.6
Parade Ground,459.7,464.8,532.5,376.7,25.4
