station_name,A_20kmph_1.3,B_18kmph_1.4,C_fast_25kmph,D_slow_14kmph,E_published
Miyapur,2.2,4.6,1.2,9.2,103.2
JNTU College,2.0,4.4,0.6,8.4,116.2
KPHB Colony,2.4,3.6,0.6,8.8,136.8
Kukatpally,3.8,5.6,1.2,11.8,145.0
Balanagar,2.6,3.2,1.4,8.6,111.0
Moosapet,3.6,5.4,1.4,12.8,151.6
Bharat Nagar,1.0,2.0,0.4,3.8,69.2
Erragadda,1.4,2.0,0.6,3.8,81.6
ESI Hospital,2.6,3.8,1.2,9.2,106.8
S. R. Nagar,4.4,6.6,1.6,13.2,129.0
Ameerpet,3.4,5.6,1.4,12.4,125.2
Panjagutta,2.6,3.8,1.0,11.0,140.2
Erra Manzil,1.8,3.2,0.8,8.4,82.8
Khairatabad,2.2,3.4,0.8,10.4,57.2
Lakdi-ka-pul,11.0,15.0,7.0,30.4,148.8
Assembly,4.2,5.8,2.2,16.6,79.6
Nampally,5.0,6.2,4.0,14.6,78.4
Gandhi Bhavan,3.4,4.8,1.8,12.4,66.2
Osmania Medical College,12.4,18.8,6.4,40.8,164.8
Mahatma Gandhi Bus Station,1.6,3.2,0.4,10.2,78.4
Malakpet,3.2,5.0,1.4,15.6,113.2
New Market,1.8,3.0,0.8,9.4,64.4
Musarambagh,1.4,2.6,0.8,6.2,60.4
Dilsukh Nagar,2.4,5.2,1.6,16.4,74.4
Chaitanyapuri,2.6,4.8,1.2,12.6,74.6
Victoria Memorial,1.8,4.0,0.6,11.2,78.0
L. B. Nagar,5.6,10.6,1.8,27.4,156.6
Sultan Bazar,9.0,13.4,5.4,30.2,162.0
Narayanaguda,1.4,2.4,1.0,5.8,52.8
Chikkadpally,1.2,1.8,1.0,3.4,47.4
RTC Cross Roads,0.6,1.2,0.4,2.0,62.2
Musheerabad,0.4,0.4,0.2,1.8,59.2
Gandhi Hospital,0.2,0.6,0.4,2.2,56.4
Secunderabad West,22.4,32.0,11.8,65.6,260.8
JBS Parade Ground,24.4,34.8,14.2,67.8,242.6
Nagole,7.6,11.4,3.0,24.2,52.2
Uppal,14.0,19.6,6.8,38.2,104.6
Stadium,3.6,5.2,1.0,10.6,60.4
NGRI,4.2,5.8,1.0,12.4,59.4
Habsiguda,4.8,6.8,1.8,14.4,79.0
Tarnaka,8.8,12.0,5.0,22.6,115.0
Mettuguda,6.8,8.8,2.6,19.6,132.4
Secunderabad East,24.6,35.0,13.4,73.6,404.4
Parade Ground,25.4,35.8,15.0,69.0,243.6
Paradise,7.2,12.6,3.6,26.6,139.4
Rasoolpura,6.4,8.6,3.8,14.2,91.0
Prakash Nagar,3.8,5.2,2.8,10.0,77.0
Begumpet,5.0,6.6,3.2,10.2,83.0
Madhura Nagar,3.8,5.8,1.6,13.0,131.2
Yusufguda,1.0,2.4,0.8,3.6,40.6
Road No 5 Jubilee Hills,1.0,2.0,0.8,3.2,28.0
Jubilee Hills Checkpost,3.2,4.0,1.4,6.8,55.8
Peddamma Gudi,3.2,3.6,1.4,6.2,46.0
Madhapur,1.2,1.6,0.6,2.6,15.2
Durgam Cheruvu,2.4,3.8,1.4,7.2,54.6
HITEC City,2.6,4.6,1.4,8.4,70.8
Raidurg,0.0,0.4,0.0,0.8,12.4
