station_name,peak_destinations,dark_from,last_metro,stranded,stranded_hours,half_reach_from
Road No 5 Jubilee Hills,8,19:00,23:34,4h 34m,4.569722222222222,19:30
Madhapur,6,21:15,23:40,2h 25m,2.424722222222222,21:45
Yusufguda,13,21:12,23:32,2h 20m,2.341111111111111,20:45
Jubilee Hills Checkpost,15,21:24,23:37,2h 13m,2.2108333333333334,19:55
Durgam Cheruvu,13,21:43,23:43,2h 00m,2.004880952380951,21:30
Peddamma Gudi,12,21:40,23:38,1h 58m,1.9702777777777776,21:30
Raidurg,18,21:53,23:48,1h 55m,1.9136111111111092,21:27
Musarambagh,34,21:55,23:39,1h 44m,1.734978632478633,21:00
New Market,31,21:55,23:38,1h 43m,1.720909090909089,20:56
Chikkadpally,26,22:12,23:45,1h 33m,1.5522222222222233,21:00
Narayanaguda,21,22:15,23:47,1h 32m,1.530555555555555,21:21
Victoria Memorial,32,22:20,23:45,1h 25m,1.4163888888888891,21:11
Gandhi Hospital,23,22:22,23:45,1h 22m,1.3747222222222213,21:25
Dilsukh Nagar,41,22:20,23:42,1h 22m,1.358611111111113,20:57
Musheerabad,24,22:22,23:43,1h 21m,1.3488888888888901,21:26
HITEC City,25,22:26,23:45,1h 19m,1.3203174603174617,21:35
Chaitanyapuri,38,22:24,23:43,1h 19m,1.3194444444444464,21:05
RTC Cross Roads,28,22:26,23:44,1h 18m,1.298650793650797,21:27
Miyapur,32,22:42,23:47,1h 05m,1.081666666666667,21:12
Mahatma Gandhi Bus Station,37,22:50,23:51,1h 01m,1.0086111111111116,21:25
Bharat Nagar,22,22:40,23:35,0h 55m,0.9241666666666646,21:48
JNTU College,32,22:51,23:45,0h 54m,0.897735042735043,22:00
Erragadda,32,22:45,23:34,0h 49m,0.8119444444444461,21:10
L. B. Nagar,32,23:00,23:47,0h 47m,0.783333333333335,21:20
KPHB Colony,43,23:00,23:43,0h 43m,0.7091666666666683,21:17
Prakash Nagar,25,22:45,23:26,0h 41m,0.6788888888888884,20:50
Gandhi Bhavan,40,22:53,23:31,0h 37m,0.6238888888888887,21:18
Begumpet,23,22:48,23:24,0h 36m,0.6080555555555556,21:10
Stadium,32,23:10,23:45,0h 35m,0.5772222222222219,20:49
Erra Manzil,40,22:51,23:25,0h 34m,0.5659126984126992,21:26
NGRI,30,23:10,23:43,0h 33m,0.5474999999999994,20:55
Khairatabad,37,22:51,23:24,0h 32m,0.5350793650793655,21:30
Nagole,24,23:17,23:49,0h 31m,0.5234523809523814,20:51
Nampally,41,23:00,23:29,0h 29m,0.4877777777777794,21:19
Ameerpet,33,23:00,23:29,0h 29m,0.47888888888888914,21:41
Balanagar,32,23:17,23:38,0h 21m,0.35567460317460586,21:35
JBS Parade Ground,95,23:30,23:50,0h 20m,0.33611111111111214,21:29
Kukatpally,42,23:22,23:40,0h 18m,0.299722222222222,21:37
Rasoolpura,27,23:10,23:28,0h 18m,0.2972222222222207,21:05
Panjagutta,58,23:10,23:27,0h 17m,0.28305555555555273,21:27
Malakpet,57,23:20,23:36,0h 16m,0.26222222222222413,21:32
ESI Hospital,50,23:17,23:32,0h 15m,0.24567460317460288,21:33
S. R. Nagar,53,23:17,23:30,0h 13m,0.22261904761904816,21:30
Madhura Nagar,54,23:17,23:30,0h 13m,0.21039682539682758,21:31
Habsiguda,43,23:30,23:41,0h 11m,0.1872222222222213,21:21
Moosapet,51,23:27,23:37,0h 10m,0.17333333333333556,21:42
Paradise,56,23:20,23:29,0h 09m,0.15805555555555628,21:33
Assembly,46,23:20,23:28,0h 08m,0.13083333333333513,21:55
Secunderabad West,94,23:40,23:47,0h 07m,0.12361111111111,21:28
Uppal,66,23:40,23:46,0h 06m,0.10805555555555557,20:50
Tarnaka,59,23:33,23:39,0h 06m,0.09555555555555273,21:14
Mettuguda,47,23:34,23:37,0h 03m,0.048571428571428044,21:24
Parade Ground,95,23:30,23:31,0h 01m,0.022222222222222143,21:29
Secunderabad East,130,23:48,23:34,—,-0.230833333333333,21:29
Lakdi-ka-pul,75,23:45,23:26,—,-0.3200000000000003,21:18
Sultan Bazar,65,00:12,23:49,—,-0.3861111111111093,21:36
Osmania Medical College,76,00:24,23:32,—,-0.8597222222222207,21:40
